N,m,fm,hmm,hMM,emm,eMM,emM,eMm
1000,2,0.15,0.0,0.06,0.0,0.0686372745490982,0.781062124248497,0.15030060120240482
1000,2,0.33,0.0,0.07,0.0,0.04909819639278557,0.6212424849699398,0.32965931863727455
1000,2,0.4,0.0,0.07,0.0,0.0481203007518797,0.5523809523809524,0.3994987468671679
1000,2,0.49,0.0,0.07,0.0,0.04208416833667335,0.467935871743487,0.48997995991983967
1000,2,0.15,0.0,0.07,0.0,0.07014028056112225,0.7805611222444889,0.1492985971943888
1000,2,0.33,0.0,0.08,0.0,0.07214428857715431,0.5971943887775552,0.3306613226452906
1000,2,0.4,0.0,0.08,0.0,0.07965931863727455,0.5195390781563126,0.40080160320641284
1000,2,0.49,0.0,0.08,0.0,0.045591182364729456,0.4634268537074148,0.4909819639278557
1000,2,0.15,0.0,0.08,0.0,0.11573146292585171,0.7339679358717435,0.15030060120240482
1000,2,0.33,0.0,0.09,0.0,0.07615230460921844,0.593186372745491,0.3306613226452906
1000,2,0.4,0.0,0.09,0.0,0.06713426853707415,0.533066132264529,0.3997995991983968
1000,2,0.49,0.0,0.09,0.0,0.04959919839679359,0.4594188376753507,0.4909819639278557
1000,2,0.15,0.0,0.09,0.0,0.1312625250501002,0.718436873747495,0.15030060120240482
1000,2,0.33,0.0,0.1,0.0,0.0906813627254509,0.5786573146292585,0.3306613226452906
1000,2,0.4,0.0,0.1,0.0,0.058646616541353384,0.5418546365914787,0.3994987468671679
1000,2,0.49,0.0,0.1,0.0,0.06012024048096192,0.44889779559118237,0.4909819639278557
1000,2,0.15,0.0,0.1,0.0,0.13627254509018036,0.7134268537074149,0.15030060120240482
1000,2,0.33,0.0,0.11,0.0,0.09418837675350701,0.5751503006012024,0.3306613226452906
1000,2,0.4,0.0,0.11,0.0,0.09268537074148296,0.5065130260521042,0.40080160320641284
1000,2,0.49,0.0,0.11,0.0,0.05561122244488978,0.4544088176352705,0.48997995991983967
1000,2,0.15,0.0,0.11,0.0,0.13677354709418837,0.7129258517034068,0.15030060120240482
1000,2,0.33,0.0,0.12,0.0,0.09218436873747494,0.5781563126252505,0.32965931863727455
1000,2,0.4,0.0,0.12,0.0,0.08767535070140281,0.5115230460921844,0.40080160320641284
1000,2,0.49,0.0,0.12,0.0,0.07071213640922769,0.43981945837512537,0.48946840521564694
1000,2,0.15,0.0,0.12,0.0,0.1848697394789579,0.6648296593186372,0.15030060120240482
1000,2,0.33,0.0,0.13,0.0,0.125751503006012,0.5435871743486974,0.3306613226452906
1000,2,0.4,0.0,0.13,0.0,0.11122244488977956,0.4879759519038076,0.40080160320641284
1000,2,0.49,0.0,0.13,0.0,0.07965931863727455,0.4303607214428858,0.48997995991983967
1000,2,0.15,0.0,0.13,0.0,0.16683366733466934,0.6828657314629258,0.15030060120240482
1000,2,0.33,0.0,0.14,0.0,0.13076152304609218,0.5385771543086172,0.3306613226452906
1000,2,0.4,0.0,0.14,0.0,0.10977443609022557,0.4907268170426065,0.3994987468671679
1000,2,0.49,0.0,0.14,0.0,0.09318637274549098,0.41783567134268534,0.48897795591182364
1000,2,0.15,0.0,0.14,0.0,0.17284569138276554,0.6768537074148296,0.15030060120240482
1000,2,0.33,0.0,0.15,0.0,0.1280120481927711,0.5446787148594378,0.3273092369477912
1000,2,0.4,0.0,0.15,0.0,0.1089904570567554,0.4927172275238574,0.39829231541938726
1000,2,0.49,0.0,0.15,0.0,0.08316633266533066,0.42685370741482964,0.48997995991983967
1000,2,0.15,0.0,0.15,0.0,0.2339679358717435,0.6157314629258517,0.15030060120240482
1000,2,0.33,0.0,0.16,0.0,0.1492985971943888,0.5220440881763527,0.3286573146292585
1000,2,0.4,0.0,0.16,0.0,0.14593781344032097,0.45486459378134403,0.399197592778335
1000,2,0.49,0.0,0.16,0.0,0.1037593984962406,0.40651629072681705,0.48972431077694234
1000,2,0.15,0.0,0.16,0.0,0.22545090180360722,0.624248496993988,0.15030060120240482
1000,2,0.33,0.0,0.17,0.0,0.16082164328657314,0.5085170340681363,0.3306613226452906
1000,2,0.4,0.0,0.17,0.0,0.13483709273182956,0.4666666666666667,0.39849624060150374
1000,2,0.49,0.0,0.17,0.0,0.10943775100401607,0.40160642570281124,0.48895582329317266
1000,2,0.15,0.0,0.17,0.0,0.2650300601202405,0.5856713426853707,0.1492985971943888
1000,2,0.33,0.0,0.18,0.0,0.1848697394789579,0.48547094188376755,0.32965931863727455
1000,2,0.4,0.0,0.18,0.0,0.15080160320641284,0.4483967935871743,0.40080160320641284
1000,2,0.49,0.0,0.18,0.0,0.11127819548872181,0.39899749373433585,0.48972431077694234
1000,2,0.15,0.0,0.18,0.0,0.2374749498997996,0.6132264529058116,0.1492985971943888
1000,2,0.33,0.0,0.19,0.0,0.16733466933867736,0.503006012024048,0.32965931863727455
1000,2,0.4,0.0,0.19,0.0,0.14837092731829574,0.4531328320802005,0.39849624060150374
1000,2,0.49,0.0,0.19,0.0,0.11072144288577154,0.39929859719438876,0.48997995991983967
1000,2,0.15,0.0,0.19,0.0,0.24511278195488723,0.606015037593985,0.14887218045112782
1000,2,0.33,0.0,0.2,0.0,0.18887775551102204,0.4804609218436874,0.3306613226452906
1000,2,0.4,0.0,0.2,0.0,0.16340852130325814,0.4370927318295739,0.3994987468671679
1000,2,0.49,0.0,0.2,0.0,0.13233082706766916,0.3779448621553885,0.48972431077694234
1000,2,0.15,0.0,0.2,0.0,0.2755511022044088,0.5741482965931863,0.15030060120240482
1000,2,0.33,0.0,0.21,0.0,0.1816357250376317,0.4897139989964877,0.3286502759658806
1000,2,0.4,0.0,0.21,0.0,0.1748496993987976,0.4253507014028056,0.3997995991983968
1000,2,0.49,0.0,0.21,0.0,0.13834586466165413,0.3719298245614035,0.48972431077694234
1000,2,0.15,0.0,0.21,0.0,0.3812625250501002,0.468436873747495,0.15030060120240482
1000,2,0.33,0.0,0.22,0.0,0.21643286573146292,0.4529058116232465,0.3306613226452906
1000,2,0.4,0.0,0.22,0.0,0.18687374749498997,0.4133266533066132,0.3997995991983968
1000,2,0.49,0.0,0.22,0.0,0.13533834586466165,0.374937343358396,0.48972431077694234
1000,2,0.15,0.0,0.22,0.0,0.34619238476953906,0.5035070140280561,0.15030060120240482
1000,2,0.33,0.0,0.23,0.0,0.22144288577154309,0.44889779559118237,0.32965931863727455
1000,2,0.4,0.0,0.23,0.0,0.18386773547094187,0.4153306613226453,0.40080160320641284
1000,2,0.49,0.0,0.23,0.0,0.15430861723446893,0.3557114228456914,0.48997995991983967
1000,2,0.15,0.0,0.23,0.0,0.35255767301905716,0.4989969909729188,0.14844533600802406
1000,2,0.33,0.0,0.24,0.0,0.2124248496993988,0.45691382765531063,0.3306613226452906
1000,2,0.4,0.0,0.24,0.0,0.22294589178356713,0.37625250501002006,0.40080160320641284
1000,2,0.49,0.0,0.24,0.0,0.15203211239337683,0.3587556447566483,0.4892122428499749
1000,2,0.15,0.0,0.24,0.0,0.4028056112224449,0.4468937875751503,0.15030060120240482
1000,2,0.33,0.0,0.25,0.0,0.22895791583166333,0.44138276553106215,0.32965931863727455
1000,2,0.4,0.0,0.25,0.0,0.22868605817452356,0.3721163490471414,0.399197592778335
1000,2,0.49,0.0,0.25,0.0,0.15080160320641284,0.3602204408817635,0.48897795591182364
1000,2,0.15,0.0,0.25,0.0,0.4559118236472946,0.3937875751503006,0.15030060120240482
1000,2,0.33,0.0,0.26,0.0,0.2753259779338014,0.3966900702106319,0.3279839518555667
1000,2,0.4,0.0,0.26,0.0,0.20390781563126253,0.39629258517034066,0.3997995991983968
1000,2,0.49,0.0,0.26,0.0,0.16859006522829906,0.34219769192172605,0.4892122428499749
1000,2,0.15,0.0,0.26,0.0,0.4473947895791583,0.40230460921843686,0.15030060120240482
1000,2,0.33,0.0,0.27,0.0,0.2536340852130326,0.4170426065162907,0.3293233082706767
1000,2,0.4,0.0,0.27,0.0,0.24198396793587174,0.3572144288577154,0.40080160320641284
1000,2,0.49,0.0,0.27,0.0,0.18956870611835505,0.320962888665998,0.48946840521564694
1000,2,0.15,0.0,0.27,0.0,0.4393787575150301,0.41132264529058116,0.1492985971943888
1000,2,0.33,0.0,0.28,0.0,0.26766917293233083,0.4030075187969925,0.3293233082706767
1000,2,0.4,0.0,0.28,0.0,0.23721163490471414,0.3645937813440321,0.3981945837512538
1000,2,0.49,0.0,0.28,0.0,0.16842105263157894,0.3418546365914787,0.48972431077694234
1000,2,0.15,0.0,0.28,0.0,0.4483967935871743,0.4013026052104208,0.15030060120240482
1000,2,0.33,0.0,0.29,0.0,0.2907268170426065,0.3799498746867168,0.3293233082706767
1000,2,0.4,0.0,0.29,0.0,0.26255020080321284,0.339859437751004,0.39759036144578314
1000,2,0.49,0.0,0.29,0.0,0.19398496240601504,0.3162907268170426,0.48972431077694234
1000,2,0.15,0.0,0.29,0.0,0.5095190380761523,0.34018036072144286,0.15030060120240482
1000,2,0.33,0.0,0.3,0.0,0.31763527054108215,0.35370741482965934,0.3286573146292585
1000,2,0.4,0.0,0.3,0.0,0.25075225677031093,0.3510531594784353,0.3981945837512538
1000,2,0.49,0.0,0.3,0.0,0.18947368421052632,0.3208020050125313,0.48972431077694234
1000,2,0.15,0.0,0.3,0.0,0.5521042084168337,0.29759519038076154,0.15030060120240482
1000,2,0.33,0.0,0.31,0.0,0.28270676691729324,0.3879699248120301,0.3293233082706767
1000,2,0.4,0.0,0.31,0.0,0.24122367101303913,0.36058174523570713,0.3981945837512538
1000,2,0.49,0.0,0.31,0.0,0.21013039117352056,0.3004012036108325,0.48946840521564694
1000,2,0.15,0.0,0.31,0.0,0.5065130260521042,0.34318637274549096,0.15030060120240482
1000,2,0.33,0.0,0.32,0.0,0.3211422845691383,0.34919839679358716,0.32965931863727455
1000,2,0.4,0.0,0.32,0.0,0.2748244734202608,0.3259779338014042,0.399197592778335
1000,2,0.49,0.0,0.32,0.0,0.24348697394789579,0.2655310621242485,0.4909819639278557
1000,2,0.15,0.0,0.32,0.0,0.4754509018036072,0.374248496993988,0.15030060120240482
1000,2,0.33,0.0,0.33,0.0,0.3221442885771543,0.3471943887775551,0.3306613226452906
1000,2,0.4,0.0,0.33,0.0,0.3161322645290581,0.28306613226452904,0.40080160320641284
1000,2,0.49,0.0,0.33,0.0,0.22094188376753507,0.2880761523046092,0.4909819639278557
1000,2,0.15,0.0,0.33,0.0,0.6518036072144289,0.19789579158316634,0.15030060120240482
1000,2,0.33,0.0,0.34,0.0,0.35070140280561124,0.3196392785571142,0.32965931863727455
1000,2,0.4,0.0,0.34,0.0,0.2799799297541395,0.32112393376818865,0.39889613647767186
1000,2,0.49,0.0,0.34,0.0,0.22367101303911735,0.28786359077231694,0.4884653961885657
1000,2,0.15,0.0,0.34,0.0,0.5526052104208417,0.29809619238476953,0.1492985971943888
1000,2,0.33,0.0,0.35,0.0,0.3186372745490982,0.35070140280561124,0.3306613226452906
1000,2,0.4,0.0,0.35,0.0,0.2882205513784461,0.312280701754386,0.3994987468671679
1000,2,0.49,0.0,0.35,0.0,0.24799599198396793,0.26102204408817636,0.4909819639278557
1000,2,0.15,0.0,0.35,0.0,0.5906813627254509,0.2590180360721443,0.15030060120240482
1000,2,0.33,0.0,0.36,0.0,0.3637274549098196,0.30561122244488975,0.3306613226452906
1000,2,0.4,0.0,0.36,0.0,0.32915831663326656,0.2710420841683367,0.3997995991983968
1000,2,0.49,0.0,0.36,0.0,0.24423269809428286,0.26730190571715146,0.4884653961885657
1000,2,0.15,0.0,0.36,0.0,0.5385771543086172,0.31112224448897796,0.15030060120240482
1000,2,0.33,0.0,0.37,0.0,0.3786359077231695,0.2933801404212638,0.3279839518555667
1000,2,0.4,0.0,0.37,0.0,0.3246492985971944,0.2755511022044088,0.3997995991983968
1000,2,0.49,0.0,0.37,0.0,0.2522567703109328,0.25827482447342026,0.48946840521564694
1000,2,0.15,0.0,0.37,0.0,0.5566132264529058,0.29308617234468937,0.15030060120240482
1000,2,0.33,0.0,0.38,0.0,0.37393483709273184,0.29774436090225564,0.3283208020050125
1000,2,0.4,0.0,0.38,0.0,0.3406813627254509,0.2605210420841683,0.39879759519038077
1000,2,0.49,0.0,0.38,0.0,0.25801603206412826,0.25100200400801603,0.4909819639278557
1000,2,0.15,0.0,0.38,0.0,0.6472945891783567,0.20240480961923848,0.15030060120240482
1000,2,0.33,0.0,0.39,0.0,0.4033066132264529,0.26603206412825653,0.3306613226452906
1000,2,0.4,0.0,0.39,0.0,0.324974924774323,0.275827482447342,0.399197592778335
1000,2,0.49,0.0,0.39,0.0,0.26703406813627256,0.24298597194388777,0.48997995991983967
1000,2,0.15,0.0,0.39,0.0,0.6548096192384769,0.19488977955911824,0.15030060120240482
1000,2,0.33,0.0,0.4,0.0,0.40480961923847697,0.2655310621242485,0.32965931863727455
1000,2,0.4,0.0,0.4,0.0,0.3667334669338677,0.23446893787575152,0.39879759519038077
1000,2,0.49,0.0,0.4,0.0,0.28006012024048094,0.22895791583166333,0.4909819639278557
1000,2,0.15,0.0,0.4,0.0,0.6087174348697395,0.2409819639278557,0.15030060120240482
1000,2,0.33,0.0,0.41,0.0,0.42620481927710846,0.2464859437751004,0.3273092369477912
1000,2,0.4,0.0,0.41,0.0,0.34186746987951805,0.2605421686746988,0.39759036144578314
1000,2,0.49,0.0,0.41,0.0,0.27805611222444887,0.2309619238476954,0.4909819639278557
1000,2,0.15,0.0,0.41,0.0,0.6943887775551102,0.15531062124248496,0.15030060120240482
1000,2,0.33,0.0,0.42,0.0,0.4408817635270541,0.22945891783567135,0.32965931863727455
1000,2,0.4,0.0,0.42,0.0,0.3602204408817635,0.23997995991983967,0.3997995991983968
1000,2,0.49,0.0,0.42,0.0,0.28106212424849697,0.2279559118236473,0.4909819639278557
1000,2,0.15,0.0,0.42,0.0,0.6943887775551102,0.15531062124248496,0.15030060120240482
1000,2,0.33,0.0,0.43,0.0,0.42005012531328323,0.2506265664160401,0.3293233082706767
1000,2,0.4,0.0,0.43,0.0,0.36773547094188375,0.23246492985971945,0.3997995991983968
1000,2,0.49,0.0,0.43,0.0,0.29008016032064127,0.22094188376753507,0.48897795591182364
1000,2,0.15,0.0,0.43,0.0,0.6593186372745491,0.19138276553106212,0.1492985971943888
1000,2,0.33,0.0,0.44,0.0,0.46893787575150303,0.20040080160320642,0.3306613226452906
1000,2,0.4,0.0,0.44,0.0,0.38415245737211634,0.2176529588766299,0.3981945837512538
1000,2,0.49,0.0,0.44,0.0,0.27605210420841686,0.23296593186372747,0.4909819639278557
1000,2,0.15,0.0,0.44,0.0,0.7254509018036072,0.12424849699398798,0.15030060120240482
1000,2,0.33,0.0,0.45,0.0,0.45490981963927857,0.21442885771543085,0.3306613226452906
1000,2,0.4,0.0,0.45,0.0,0.38585047666833916,0.21625689914701454,0.39789262418464627
1000,2,0.49,0.0,0.45,0.0,0.30776942355889725,0.2025062656641604,0.48972431077694234
1000,2,0.15,0.0,0.45,0.0,0.719939879759519,0.13076152304609218,0.1492985971943888
1000,2,0.33,0.0,0.46,0.0,0.46893787575150303,0.20140280561122245,0.32965931863727455
1000,2,0.4,0.0,0.46,0.0,0.42084168336673344,0.17835671342685372,0.40080160320641284
1000,2,0.49,0.0,0.46,0.0,0.33567134268537074,0.17535070140280562,0.48897795591182364
1000,2,0.15,0.0,0.46,0.0,0.6953907815631263,0.15430861723446893,0.15030060120240482
1000,2,0.33,0.0,0.47,0.0,0.500501002004008,0.16983967935871744,0.32965931863727455
1000,2,0.4,0.0,0.47,0.0,0.39879759519038077,0.20040080160320642,0.40080160320641284
1000,2,0.49,0.0,0.47,0.0,0.31462925851703405,0.19438877755511022,0.4909819639278557
1000,2,0.15,0.0,0.47,0.0,0.7374749498997996,0.11222444889779559,0.15030060120240482
1000,2,0.33,0.0,0.48,0.0,0.47995991983967934,0.19138276553106212,0.3286573146292585
1000,2,0.4,0.0,0.48,0.0,0.4045226130653266,0.1984924623115578,0.3969849246231156
1000,2,0.49,0.0,0.48,0.0,0.339859437751004,0.17218875502008033,0.4879518072289157
1000,2,0.15,0.0,0.48,0.0,0.7289579158316634,0.12074148296593186,0.15030060120240482
1000,2,0.33,0.0,0.49,0.0,0.48396793587174347,0.18537074148296592,0.3306613226452906
1000,2,0.4,0.0,0.49,0.0,0.41323971915747243,0.18856569709127383,0.3981945837512538
1000,2,0.49,0.0,0.49,0.0,0.3498995983935743,0.16114457831325302,0.48895582329317266
1000,2,0.15,0.0,0.49,0.0,0.7239478957915831,0.125751503006012,0.15030060120240482
1000,2,0.33,0.0,0.5,0.0,0.49198396793587174,0.17935871743486975,0.3286573146292585
1000,2,0.4,0.0,0.5,0.0,0.4242728184553661,0.17753259779338015,0.3981945837512538
1000,2,0.49,0.0,0.5,0.0,0.3333333333333333,0.178714859437751,0.4879518072289157
1000,2,0.15,0.0,0.5,0.0,0.7324649298597194,0.11723446893787576,0.15030060120240482
1000,2,0.33,0.0,0.51,0.0,0.5065130260521042,0.1628256513026052,0.3306613226452906
1000,2,0.4,0.0,0.51,0.0,0.4193386773547094,0.17985971943887777,0.40080160320641284
1000,2,0.49,0.0,0.51,0.0,0.3271450075263422,0.18364274962368288,0.4892122428499749
1000,2,0.15,0.0,0.51,0.0,0.7670340681362725,0.08366733466933868,0.1492985971943888
1000,2,0.33,0.0,0.52,0.0,0.503006012024048,0.16633266533066132,0.3306613226452906
1000,2,0.4,0.0,0.52,0.0,0.44288577154308617,0.15731462925851702,0.3997995991983968
1000,2,0.49,0.0,0.52,0.0,0.34919839679358716,0.1598196392785571,0.4909819639278557
1000,2,0.15,0.0,0.52,0.0,0.7630260521042084,0.08767535070140281,0.1492985971943888
1000,2,0.33,0.0,0.53,0.0,0.5090180360721442,0.16032064128256512,0.3306613226452906
1000,2,0.4,0.0,0.53,0.0,0.44260651629072684,0.15889724310776943,0.39849624060150374
1000,2,0.49,0.0,0.53,0.0,0.36122244488977956,0.14779559118236474,0.4909819639278557
1000,2,0.15,0.0,0.53,0.0,0.7429859719438878,0.10671342685370741,0.15030060120240482
1000,2,0.33,0.0,0.54,0.0,0.5150300601202404,0.15531062124248496,0.32965931863727455
1000,2,0.4,0.0,0.54,0.0,0.4453907815631262,0.1538076152304609,0.40080160320641284
1000,2,0.49,0.0,0.54,0.0,0.3562124248496994,0.15480961923847694,0.48897795591182364
1000,2,0.15,0.0,0.54,0.0,0.7625250501002004,0.0871743486973948,0.15030060120240482
1000,2,0.33,0.0,0.55,0.0,0.5380761523046093,0.13226452905811623,0.32965931863727455
1000,2,0.4,0.0,0.55,0.0,0.46993987975951906,0.12925851703406813,0.40080160320641284
1000,2,0.49,0.0,0.55,0.0,0.3619047619047619,0.1493734335839599,0.48872180451127817
1000,2,0.15,0.0,0.55,0.0,0.753006012024048,0.0966933867735471,0.15030060120240482
1000,2,0.33,0.0,0.56,0.0,0.5475951903807615,0.12174348697394789,0.3306613226452906
1000,2,0.4,0.0,0.56,0.0,0.45240480961923846,0.1467935871743487,0.40080160320641284
1000,2,0.49,0.0,0.56,0.0,0.3877755511022044,0.12224448897795591,0.48997995991983967
1000,2,0.15,0.0,0.56,0.0,0.780060120240481,0.06963927855711423,0.15030060120240482
1000,2,0.33,0.0,0.57,0.0,0.5355711422845691,0.13376753507014028,0.3306613226452906
1000,2,0.4,0.0,0.57,0.0,0.46893787575150303,0.13226452905811623,0.39879759519038077
1000,2,0.49,0.0,0.57,0.0,0.36723446893787576,0.14178356713426854,0.4909819639278557
1000,2,0.15,0.0,0.57,0.0,0.7705410821643287,0.08016032064128256,0.1492985971943888
1000,2,0.33,0.0,0.58,0.0,0.5651955867602808,0.10581745235707121,0.32898696088264795
1000,2,0.4,0.0,0.58,0.0,0.47941767068273095,0.12198795180722892,0.3985943775100402
1000,2,0.49,0.0,0.58,0.0,0.37625250501002006,0.13376753507014028,0.48997995991983967
1000,2,0.15,0.0,0.58,0.0,0.7870741482965932,0.062625250501002,0.15030060120240482
1000,2,0.33,0.0,0.59,0.0,0.5455911823647295,0.12374749498997996,0.3306613226452906
1000,2,0.4,0.0,0.59,0.0,0.48997995991983967,0.11022044088176353,0.3997995991983968
1000,2,0.49,0.0,0.59,0.0,0.38226452905811625,0.12675350701402804,0.4909819639278557
1000,2,0.15,0.0,0.59,0.0,0.7660320641282565,0.08466933867735471,0.1492985971943888
1000,2,0.33,0.0,0.6,0.0,0.5736472945891784,0.0966933867735471,0.32965931863727455
1000,2,0.4,0.0,0.6,0.0,0.4894789579158317,0.10971943887775551,0.40080160320641284
1000,2,0.49,0.0,0.6,0.0,0.3912825651302605,0.11773547094188377,0.4909819639278557
1000,2,0.15,0.0,0.6,0.0,0.7850701402805611,0.06462925851703406,0.15030060120240482
1000,2,0.33,0.0,0.61,0.0,0.5701402805611222,0.09919839679358718,0.3306613226452906
1000,2,0.4,0.0,0.61,0.0,0.49298597194388777,0.10821643286573146,0.39879759519038077
1000,2,0.49,0.0,0.61,0.0,0.39167502507522567,0.11885656970912738,0.48946840521564694
1000,2,0.15,0.0,0.61,0.0,0.7925851703406813,0.05711422845691383,0.15030060120240482
1000,2,0.33,0.0,0.62,0.0,0.5806613226452906,0.08967935871743488,0.32965931863727455
1000,2,0.4,0.0,0.62,0.0,0.4814629258517034,0.1187374749498998,0.3997995991983968
1000,2,0.49,0.0,0.62,0.0,0.4168336673346693,0.09318637274549098,0.48997995991983967
1000,2,0.15,0.0,0.62,0.0,0.8041082164328658,0.045591182364729456,0.15030060120240482
1000,2,0.33,0.0,0.63,0.0,0.5711422845691383,0.09819639278557114,0.3306613226452906
1000,2,0.4,0.0,0.63,0.0,0.512280701754386,0.08822055137844612,0.3994987468671679
1000,2,0.49,0.0,0.63,0.0,0.41082164328657317,0.09919839679358718,0.48997995991983967
1000,2,0.15,0.0,0.63,0.0,0.7955911823647295,0.05410821643286573,0.15030060120240482
1000,2,0.33,0.0,0.64,0.0,0.5760924158714213,0.09593169261677549,0.3279758915118031
1000,2,0.4,0.0,0.64,0.0,0.5082789764174611,0.09382839939789263,0.39789262418464627
1000,2,0.49,0.0,0.64,0.0,0.4088176352705411,0.10020040080160321,0.4909819639278557
1000,2,0.15,0.0,0.64,0.0,0.8046092184368737,0.045090180360721446,0.15030060120240482
1000,2,0.33,0.0,0.65,0.0,0.5861723446893787,0.08316633266533066,0.3306613226452906
1000,2,0.4,0.0,0.65,0.0,0.5135270541082164,0.08667334669338678,0.3997995991983968
1000,2,0.49,0.0,0.65,0.0,0.42076228686058176,0.09077231695085256,0.4884653961885657
1000,2,0.15,0.0,0.65,0.0,0.8006012024048096,0.04909819639278557,0.15030060120240482
1000,2,0.33,0.0,0.66,0.0,0.5851703406813628,0.08617234468937876,0.3286573146292585
1000,2,0.4,0.0,0.66,0.0,0.5090180360721442,0.09018036072144289,0.40080160320641284
1000,2,0.49,0.0,0.66,0.0,0.42047165077772203,0.09031610637230306,0.4892122428499749
1000,2,0.15,0.0,0.66,0.0,0.8151302605210421,0.034569138276553106,0.15030060120240482
1000,2,0.33,0.0,0.67,0.0,0.5761523046092184,0.09418837675350701,0.32965931863727455
1000,2,0.4,0.0,0.67,0.0,0.5115230460921844,0.08867735470941884,0.3997995991983968
1000,2,0.49,0.0,0.67,0.0,0.4213426853707415,0.08867735470941884,0.48997995991983967
1000,2,0.15,0.0,0.67,0.0,0.7949874686716792,0.056140350877192984,0.14887218045112782
1000,2,0.33,0.0,0.68,0.0,0.6005012531328321,0.07017543859649122,0.3293233082706767
1000,2,0.4,0.0,0.68,0.0,0.5225903614457831,0.07981927710843373,0.39759036144578314
1000,2,0.49,0.0,0.68,0.0,0.4213426853707415,0.08867735470941884,0.48997995991983967
1000,2,0.15,0.0,0.68,0.0,0.814629258517034,0.03507014028056112,0.15030060120240482
1000,2,0.33,0.0,0.69,0.0,0.6062124248496994,0.06312625250501001,0.3306613226452906
1000,2,0.4,0.0,0.69,0.0,0.5190380761523046,0.08016032064128256,0.40080160320641284
1000,2,0.49,0.0,0.69,0.0,0.4317953861584754,0.07873620862587763,0.48946840521564694
1000,2,0.15,0.0,0.69,0.0,0.7950901803607214,0.05460921843687375,0.15030060120240482
1000,2,0.33,0.0,0.7,0.0,0.5986973947895792,0.07064128256513026,0.3306613226452906
1000,2,0.4,0.0,0.7,0.0,0.533066132264529,0.06713426853707415,0.3997995991983968
1000,2,0.49,0.0,0.7,0.0,0.4303607214428858,0.07865731462925851,0.4909819639278557
1000,2,0.15,0.0,0.7,0.0,0.8236472945891784,0.026052104208416832,0.15030060120240482
1000,2,0.33,0.0,0.71,0.0,0.5986973947895792,0.0716432865731463,0.32965931863727455
1000,2,0.4,0.0,0.71,0.0,0.5225450901803608,0.07765531062124248,0.3997995991983968
1000,2,0.49,0.0,0.71,0.0,0.4384731290808639,0.07282772476142642,0.4886991461577097
1000,2,0.15,0.0,0.71,0.0,0.8151302605210421,0.034569138276553106,0.15030060120240482
1000,2,0.33,0.0,0.72,0.0,0.6162324649298597,0.0531062124248497,0.3306613226452906
1000,2,0.4,0.0,0.72,0.0,0.529559118236473,0.06963927855711423,0.40080160320641284
1000,2,0.49,0.0,0.72,0.0,0.4318637274549098,0.0781563126252505,0.48997995991983967
